X,Y
10,2.600000
20,3.400000
30,3.500000
40,7.000000
50,8.200000
60,12.300000
70,17.200000
80,20.200000
90,23.600000
100,34.800000
110,45.300000
120,45.500000
130,58.200000
140,60.700000
150,59.100000
160,59.900000
170,60.900000
180,61.200000
190,59.900000
200,58.000000
210,58.000000
220,58.200000
230,58.000000
240,53.900000
250,57.200000
260,56.100000
