X,Y
10,2.400000
20,3.400000
30,4.700000
40,4.700000
50,8.500000
60,11.800000
70,13.400000
80,16.700000
90,17.200000
100,18.700000
110,17.900000
120,17.600000
130,16.800000
140,17.400000
150,17.700000
160,16.600000
170,16.600000
180,15.800000
190,15.900000
200,17.100000
210,16.200000
220,15.800000
230,15.500000
240,14.400000
250,14.700000
260,14.600000
