X,Y
10,0.800000
20,0.500000
30,0.000000
40,0.000000
50,0.000000
60,0.000000
70,4.900000
80,15.300000
90,5.900000
100,0.000000
110,0.000000
120,0.000000
130,1.200000
140,2.500000
150,10.000000
160,17.000000
170,16.000000
180,16.400000
190,17.000000
200,20.400000
210,23.400000
220,30.100000
230,28.400000
240,29.700000
250,30.100000
260,30.100000
