X,Y
10,1.100000
20,3.300000
30,3.000000
40,6.800000
50,8.000000
60,7.100000
70,7.500000
80,8.000000
90,8.600000
100,7.900000
110,7.700000
120,7.500000
130,7.700000
140,7.300000
150,7.500000
160,7.600000
170,6.900000
180,7.200000
190,7.600000
200,7.200000
210,7.100000
220,7.100000
230,6.800000
240,7.300000
250,7.100000
260,7.000000
