X,Y
10,215.722156
20,136.575945
30,174.471052
40,236.338926
50,362.452742
60,430.509666
70,972.062471
80,3528.220317
90,4742.545016
100,4071.163605
110,2548.826168
120,2165.132368
130,1610.297536
140,1241.953160
150,957.131914
160,792.864194
170,1118.099065
180,1826.038299
190,1931.252435
200,2230.208680
210,2465.364939
220,2662.814423
230,2321.187409
240,2464.008772
250,3090.970369
260,3018.169157
